,pH,ref_torres,espresso,error %
0,2.0,13.4952602,13.466666666666669,0.2118783403178253
1,2.5,11.0979605,11.755555555555556,5.925368499514458
2,3.0,8.50181961,8.744444444444444,2.85379889922698
3,3.5,5.94800997,6.433333333333334,8.15942417348257
4,4.0,3.62516999,3.4,6.211294659867797
5,4.5,1.62161994,2.2333333333333334,37.72236504031478
6,5.0,0.0511300564,0.4444444444444444,769.2430162162786
7,5.5,-1.15866995,-1.1555555555555554,0.2687904734600653
8,6.0,-2.11468983,-2.077777777777778,1.7455066789734435
9,6.5,-3.02019978,-3.1444444444444444,4.1137895998537015
10,7.0,-3.89163017,-3.922222222222222,0.7860986498165126
