final_box_l,MPC,Kcideal_in_mol_per_l,cs_bulk,bjerrum,pH,cH_bulk,cOH_bulk,cNa_bulk,cCl_bulk,ionic_strength_bulk,Nsteps,num_Hs,num_OHs,num_Nas,num_Cls,num_As,total_isotropic_pressures,squared_end_to_end_distances,squared_radii_of_gyration,bond_lengths,degree_of_dissociation,excess_chemical_potential_pair,excess_chemical_potential_Na,excess_chemical_potential_Cl,err_num_Hs,err_num_OHs,err_num_Nas,err_num_Cls,err_num_As,err_total_isotropic_pressures,err_squared_end_to_end_distances,err_squared_radii_of_gyration,err_bond_lengths,err_degree_of_dissociation,err_excess_chemical_potential_pair,std_error_excess_chemical_potential_Na,std_error_excess_chemical_potential_Cl,nr_chains,c_poly_[mol/l]
23.0940107676,50.0,0.1,0.00026954177,2.0,1.0,0.00354121290511,3.5412073453299997e-15,0.00026954177,0.00381075467511,0.00381075467511,26089.0,145.807275097,0.0,11.0802637127,13.1943347771,143.693204032,0.0149661390407,154.926864582,23.838848476,0.971259637163,0.17961650504,-0.488073819454,-0.150520421903,-0.346709925608,0.110444422715,0.0,0.0347677465022,0.0391920703842,0.104191053346,0.000252129092862,0.608438915328,0.0547106832836,1.31033183811e-05,0.000130238816682,0.0265473046072,0.0141786818242,0.0127560484769,16,0.0481943137205
40.858634435,50.0,0.1,0.00026954177,2.0,1.0,0.00354121290511,3.5412073453299997e-15,0.00026954177,0.00381075467511,0.00381075467511,13817.0,349.534124629,0.0,26.5873199682,199.109285663,177.012158935,0.00744485386826,192.717753309,28.0929265271,0.97140125039,0.221265198668,-0.641568327414,-0.296219418235,-0.35017682657,0.310677769043,0.0,0.0745783959985,0.271672755979,0.162204642421,6.33235780538e-05,0.933029040234,0.0793597090322,1.81307341263e-05,0.000202755803027,0.0173587637072,0.0113060262417,0.009047072507,16,0.00870246628124
58.6232581023,50.0,0.1,0.00026954177,2.0,1.0,0.00354121290511,3.5412073453299997e-15,0.00026954177,0.00381075467511,0.00381075467511,13542.0,822.798478807,0.0,62.6632698272,704.492615566,180.969133067,0.00716340133005,199.517842157,28.858676877,0.971427678777,0.226211416334,-0.601007792783,-0.305171148682,-0.296215588741,0.721976622309,0.0,0.123048936922,0.703787250063,0.157199730242,2.22436866888e-05,0.946855595335,0.0797260303245,1.80843373678e-05,0.000196499662802,0.0167757508478,0.0115087936738,0.0100112588721,16,0.00294634797686
76.3878817697,50.0,0.1,0.00026954177,2.0,1.0,0.00354121290511,3.5412073453299997e-15,0.00026954177,0.00381075467511,0.00381075467511,11487.0,1696.23348133,0.0,128.657525899,1643.04082876,181.850178463,0.00714446396225,199.618824646,28.9025056828,0.971440526975,0.227312723078,-0.62355577101,-0.259676510817,-0.280865908666,1.8617342678,0.0,0.209332108326,1.92077749619,0.182746377034,1.20303272785e-05,0.94761248643,0.0777078310792,1.9604029243e-05,0.000228432971293,0.0293816592193,0.0155261577099,0.0173192423082,16,0.00133174320807
80.0,50.0,0.1,0.00026954177,2.0,1.0,0.00354121290511,3.5412073453299997e-15,0.00026954177,0.00381075467511,0.00381075467511,7805.0,1929.567713,0.0,146.961691224,1894.3921845,182.137219731,0.00712934070151,200.27087243,28.9372094651,0.971450177905,0.227671524664,-0.569348855827,-0.277003741606,-0.315718735384,2.18074295225,0.0,0.28014595684,2.21051797841,0.238978144452,1.29301235368e-05,1.25257674759,0.101914525291,2.37335811343e-05,0.000298722680565,0.0249581762344,0.0156952084452,0.0162856140864,16,0.001159375
23.0940107676,50.0,0.1,0.00026954177,2.0,2.0,0.000310786232023,3.1078606489199996e-14,0.00026954177,0.000580328001992,0.000580328002023,26892.0,97.3796668154,0.0,84.5354380485,0.36561059051,181.549494273,0.0150322710674,160.821022337,24.617061292,0.971311982473,0.226936867842,-0.559577310742,-0.170340095194,-0.383867642914,0.0954146315344,0.0,0.089629061795,0.00632288650544,0.110102237033,0.000245287919799,0.756342914682,0.0676027974769,1.27567310997e-05,0.000137627796291,0.0215434163508,0.0111478677957,0.0104553373059,16,0.0481943137205
40.858634435,50.0,0.1,0.00026954177,2.0,2.0,0.000310786232023,3.1078606489199996e-14,0.00026954177,0.000580328001992,0.000580328002023,29626.0,133.259636806,0.0,115.769695538,9.93735232566,239.091980018,0.00246505339466,233.271987677,32.689736031,0.971625861275,0.298864975022,-0.732389901498,-0.394683811703,-0.36522435933,0.111859681663,0.0,0.0991294022508,0.0320090026978,0.110497766158,4.24878772874e-05,0.771750705836,0.0607606555415,1.23352387324e-05,0.000138122207697,0.0217811927463,0.0197779520647,0.00832053748089,16,0.00870246628124
58.6232581023,50.0,0.1,0.00026954177,2.0,2.0,0.000310786232023,3.1078606489199996e-14,0.00026954177,0.000580328001992,0.000580328002023,26324.0,171.777161526,0.0,148.829547181,62.0132958517,258.593412855,0.00134524534146,275.000211388,36.9634666461,0.971733670156,0.323241766069,-0.697978087574,-0.383482681096,-0.285769946679,0.140072249639,0.0,0.122835990108,0.0883566943356,0.123974368835,1.51338731439e-05,0.817164072416,0.0637484495384,1.29170754393e-05,0.000154967961044,0.0227914546841,0.0150143931142,0.00498357724919,16,0.00294634797686
76.3878817697,50.0,0.1,0.00026954177,2.0,2.0,0.000310786232023,3.1078606489199996e-14,0.00026954177,0.000580328001992,0.000580328002023,13618.0,244.325304744,0.0,211.463430753,190.543765604,265.244969893,0.00115556533194,294.688446488,38.8388730575,0.97178823757,0.331556212366,-0.55183127152,-0.32682517312,-0.233710887701,0.261880496729,0.0,0.22723607976,0.243377492245,0.172431600036,9.63624312609e-06,1.10335139146,0.0856172222769,1.81951405459e-05,0.000215539500046,0.027976617755,0.0176358945607,0.0065835465967,16,0.00133174320807
80.0,50.0,0.1,0.00026954177,2.0,2.0,0.000310786232023,3.1078606489199996e-14,0.00026954177,0.000580328001992,0.000580328002023,18278.0,263.92942335,0.0,229.462851515,227.618010723,265.774264143,0.00114090676889,295.251467511,38.9172946525,0.97180526665,0.332217830178,-0.523198461387,-0.296569661393,-0.216323180911,0.259434960316,0.0,0.208773627456,0.248703753312,0.159526487222,7.21933851945e-06,0.967055195914,0.0772177556542,1.55746019793e-05,0.000199408109028,0.0155171817788,0.0116611245324,0.00451962016418,16,0.001159375
