pH,charge,charge_error
2.0,13.4952602,1.39311898
2.5,11.0979605,1.48351896
3.0,8.50181961,1.50077295
3.5,5.94800997,1.46223402
4.0,3.62516999,1.37238944
4.5,1.62161994,1.24127698
5.0,0.0511300564,1.09670246
5.5,-1.15866995,0.95182687
6.0,-2.11468983,0.888424993
6.5,-3.02019978,0.890221238
7.0,-3.89163017,0.819014013
