Index,MPC,Kcideal_in_mol_per_l,pH,cs,max_L,fit_L,best_L,best_index,fit_a,fit_b,fit_c,alpha,alpha_err,RE,RE_err,Q_V,Q_RE,pH_sys,pOH_sys,#final_box_l,cs_bulk,bjerrum,cH_bulk,cOH_bulk,cNa_bulk,cCl_bulk,ionic_strength_bulk,Nsteps,num_Hs,num_OHs,num_Nas,num_Cls,num_As,total_isotropic_pressures,end_to_end_distances,bond_lengths,degree_of_dissociation,excess_chemical_potential_pair,err_num_Hs,err_num_OHs,err_num_Nas,err_num_Cls,err_num_As,err_total_isotropic_pressures,err_end_to_end_distances,err_bond_lengths,err_degree_of_dissociation,err_excess_chemical_potential_pair
0.0,40.0,0.0001,1.0,0.009999999667,31.678516450111736,7.34398792300183,7.567729682284001,2.0,-1.8892127577929616,0.0888800715488244,0.1848172315087566,0.0012639906647599,2.41477450075e-05,3.7227143287090008,0.007661270501572,18.050502037760985,0.2783489737166216,1.0844536213884666,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,40.0,0.0001,1.0,0.019999999705,31.678516450111736,7.610302463025303,7.567729682284001,1.0,-1.331268534138436,0.0374812028009516,0.2120883773986198,0.001252690622,2.34074318799e-05,3.710113497528501,0.007776454391795,18.050502037760985,0.2774068040744279,1.085482768190063,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,40.0,0.0001,1.0,0.0499999998189999,31.678516450111736,7.271037726102937,7.063214370162501,1.0,-1.4109808055989552,0.0482399825620954,0.1953501684119191,0.00128479843908,2.81146144208e-05,3.4800344903912,0.0074152943593395,14.67572669400397,0.2602036963805276,1.1050667589846508,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,40.0,0.0001,1.0,0.0999999996379999,31.678516450111736,7.405621489072709,7.567729682284001,2.0,-1.4788850510069054,0.0615816599154152,0.1921576951011816,0.00132810225852,2.60639800261e-05,3.7108282964540007,0.010671955029741,18.050502037760985,0.2774602499017891,1.0857626640806244,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,40.0,0.0001,1.0,0.199999999647,31.678516450111736,7.230408048007967,7.063214370162501,1.0,-2.0100211442135647,0.0966365956100467,0.180202854548947,0.00137162545641,2.48562151127e-05,3.5029599288202,0.0076688551240355,14.67572669400397,0.2619178414089292,1.1125603960411392,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,40.0,0.0001,2.0,0.009999999667,31.678516450111736,7.546688311091501,7.567729682284001,1.0,-1.5201928301787866,0.0568915006737594,0.20082091285673,0.00687068182972,4.77301369577e-05,3.7031168219470008,0.0085463066043695,18.050502037760985,0.2768836595901683,1.8796891542203171,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,40.0,0.0001,2.0,0.019999999705,31.678516450111736,7.518329763360548,7.567729682284001,1.0,-1.5684297111189558,0.049446744969908,0.2058162937372173,0.00779726226744,5.2541410251e-05,3.712271042724,0.008009613084545,18.050502037760985,0.2775681246695333,1.9237398773415664,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.0,40.0,0.0001,2.0,0.0499999998189999,31.678516450111736,7.366365027391524,7.567729682284001,2.0,-1.589653025340855,0.0725639349016979,0.1869190476407358,0.00917408629342,7.6744764487e-05,3.695243272225501,0.010905037473035,18.050502037760985,0.2762949508440834,1.9874239929887076,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.0,40.0,0.0001,2.0,0.0999999996379999,31.678516450111736,7.409935658992235,7.567729682284001,2.0,-1.3268567240605391,0.0569262768230863,0.1910336249636194,0.0104260851927999,6.8278349818e-05,3.708586420724501,0.009001642642277,18.050502037760985,0.2772926238758826,2.0247987007838324,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,40.0,0.0001,2.0,0.199999999647,31.678516450111736,7.353770075533251,7.567729682284001,2.0,-1.3815388045445849,0.0550093330602801,0.1923410379601245,0.011602773018,7.02965774158e-05,3.69347932547,0.011723471173655,18.050502037760985,0.2761630597759728,2.0507487614243827,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
