time,charge
111.00000000001988,0.0
112.00000000002039,0.0
113.0000000000209,0.0
114.00000000002142,0.0
115.00000000002193,-0.6
116.00000000002244,-1.2
117.00000000002295,-1.6
118.00000000002346,-1.6
119.00000000002397,-1.6
120.00000000002449,-1.6
121.000000000025,-1.6
122.00000000002551,-1.8
123.00000000002602,-2.0
124.00000000002653,-2.0
125.00000000002704,-2.0
126.00000000002755,-2.0
127.00000000002807,-2.0
128.00000000002856,-2.0
129.00000000002765,-2.0
130.00000000002674,-2.0
131.00000000002584,-2.0
132.00000000002493,-2.0
133.00000000002402,-2.0
134.0000000000231,-2.0
135.0000000000222,-2.0
136.0000000000213,-2.0
137.00000000002038,-2.0
138.00000000001947,-2.0
139.00000000001856,-2.0
140.00000000001765,-2.0
141.00000000001674,-1.8
142.00000000001583,-1.8
143.00000000001492,-1.8
144.000000000014,-2.0
145.0000000000131,-2.0
146.0000000000122,-2.0
147.00000000001128,-2.0
148.00000000001037,-2.0
149.00000000000946,-2.0
150.00000000000855,-2.0
151.00000000000765,-2.0
152.00000000000674,-2.0
153.00000000000583,-2.0
154.00000000000492,-2.0
155.000000000004,-2.0
156.0000000000031,-2.0
157.0000000000022,-2.0
158.00000000000128,-2.0
159.00000000000037,-2.0
159.99999999999946,-2.0
160.99999999999855,-2.0
161.99999999999764,-2.0
162.99999999999673,-2.0
163.99999999999582,-2.0
164.9999999999949,-2.0
165.999999999994,-2.0
166.9999999999931,-2.0
167.99999999999218,-2.0
168.99999999999127,-2.0
169.99999999999037,-2.0
170.99999999998946,-2.0
171.99999999998855,-2.0
172.99999999998764,-2.0
173.99999999998673,-2.0
174.99999999998582,-2.0
175.9999999999849,-2.0
176.999999999984,-2.0
177.9999999999831,-2.0
178.99999999998218,-2.0
179.99999999998127,-2.0
180.99999999998036,-2.0
181.99999999997945,-2.0
182.99999999997854,-2.0
183.99999999997763,-2.0
184.99999999997672,-2.0
185.9999999999758,-1.8
186.9999999999749,-1.8
187.999999999974,-2.0
188.99999999997308,-2.0
189.99999999997218,-2.0
190.99999999997127,-2.0
191.99999999997036,-2.0
192.99999999996945,-2.0
193.99999999996854,-2.0
194.99999999996763,-2.0
195.99999999996672,-2.0
196.9999999999658,-1.8
197.9999999999649,-2.0
198.999999999964,-2.0
199.99999999996308,-2.0
200.99999999996217,-2.0
201.99999999996126,-2.0
202.99999999996035,-1.8
203.99999999995944,-2.0
204.99999999995853,-2.0
205.99999999995762,-2.0
206.9999999999567,-2.0
207.9999999999558,-2.0
208.9999999999549,-2.0
209.99999999995399,-2.0
210.99999999995308,-2.0
211.99999999995217,-2.0
212.99999999995126,-2.0
213.99999999995035,-2.0
214.99999999994944,-2.0
215.99999999994853,-2.0
216.99999999994762,-2.0
217.9999999999467,-2.0
218.9999999999458,-2.0
219.9999999999449,-2.0
220.99999999994398,-2.0
221.99999999994307,-2.0
222.99999999994216,-2.0
223.99999999994125,-2.0
