time,charge
111.00000000001988,0.0
112.00000000002039,0.0
113.0000000000209,0.0
114.00000000002142,0.0
115.00000000002193,-0.4
116.00000000002244,-0.6
117.00000000002295,-0.6
118.00000000002346,-0.4
119.00000000002397,-0.4
120.00000000002449,-0.4
121.000000000025,-0.8
122.00000000002551,-0.8
123.00000000002602,-1.0
124.00000000002653,-0.8
125.00000000002704,-0.2
126.00000000002755,0.0
127.00000000002807,0.0
128.00000000002856,-0.4
129.00000000002765,-0.4
130.00000000002674,-0.4
131.00000000002584,-0.2
132.00000000002493,-0.2
133.00000000002402,0.0
134.0000000000231,-0.4
135.0000000000222,-0.6
136.0000000000213,-0.6
137.00000000002038,-0.6
138.00000000001947,-0.6
139.00000000001856,-0.4
140.00000000001765,-0.8
141.00000000001674,-0.8
142.00000000001583,-0.6
143.00000000001492,-0.4
144.000000000014,-0.2
145.0000000000131,-0.4
146.0000000000122,-0.8
147.00000000001128,-0.8
148.00000000001037,-1.0
149.00000000000946,-1.0
150.00000000000855,-0.8
151.00000000000765,-0.6
152.00000000000674,-0.4
153.00000000000583,-0.2
154.00000000000492,-0.2
155.000000000004,-0.6
156.0000000000031,-0.4
157.0000000000022,-0.6
158.00000000000128,-0.4
159.00000000000037,-0.4
159.99999999999946,-0.2
160.99999999999855,-0.2
161.99999999999764,-0.4
162.99999999999673,-0.6
163.99999999999582,-0.6
164.9999999999949,-0.6
165.999999999994,-0.6
166.9999999999931,-0.4
167.99999999999218,-0.6
168.99999999999127,-0.8
169.99999999999037,-0.8
170.99999999998946,-0.6
171.99999999998855,-0.2
172.99999999998764,-0.4
173.99999999998673,-0.2
174.99999999998582,0.0
175.9999999999849,0.0
176.999999999984,-0.4
177.9999999999831,-0.2
178.99999999998218,-0.4
179.99999999998127,-0.2
180.99999999998036,-0.4
181.99999999997945,-0.6
182.99999999997854,-0.2
183.99999999997763,-0.4
184.99999999997672,-0.4
185.9999999999758,0.0
186.9999999999749,-0.2
187.999999999974,-0.2
188.99999999997308,-0.2
189.99999999997218,-0.4
190.99999999997127,-0.6
191.99999999997036,-0.4
192.99999999996945,-0.4
193.99999999996854,-0.4
194.99999999996763,-0.4
195.99999999996672,-0.2
196.9999999999658,-0.6
197.9999999999649,-0.4
198.999999999964,-0.4
199.99999999996308,-0.6
200.99999999996217,-0.6
201.99999999996126,-0.2
202.99999999996035,-0.2
203.99999999995944,0.0
204.99999999995853,-0.4
205.99999999995762,-0.4
206.9999999999567,-0.4
207.9999999999558,-0.4
208.9999999999549,-0.4
209.99999999995399,-0.2
210.99999999995308,-0.6
211.99999999995217,-0.2
212.99999999995126,-0.4
213.99999999995035,-0.4
214.99999999994944,-0.2
215.99999999994853,-0.6
216.99999999994762,-0.8
217.9999999999467,-0.8
218.9999999999458,-0.8
219.9999999999449,-0.8
220.99999999994398,-1.0
221.99999999994307,-1.0
222.99999999994216,-0.6
223.99999999994125,-0.6
