pH,time,mean,err_mean,n_eff,tau_int
value,value,charge,charge,charge,charge
2,series,-0.4488888888888889,0.016627431260835178,182.2139622427706,2.4696241410964905
5,series,-1.0037777777777779,0.001695813512666915,412.7735446829636,1.0901861463656046
9,series,-1.9908888888888892,0.002213186162556897,428.1365684195505,1.0510664895099904
