Index,MPC,Kcideal_in_mol_per_l,pH,cs,max_L,fit_L,best_L,best_index,fit_a,fit_b,fit_c,alpha,alpha_err,RE,RE_err,Q_V,Q_RE,pH_sys,pOH_sys
0,40,0.0001,1.0,0.009999999667000003,31.678516450111736,7.34398792300183,7.567729682284001,2,-1.8892127577929618,0.08888007154882446,0.18481723150875667,0.0012639906647599999,2.41477450075e-05,3.7227143287090008,0.007661270501572001,18.050502037760985,0.2783489737166216,1.0844536213884666,0.0
1,40,0.0001,1.0,0.019999999705000004,31.678516450111736,7.610302463025303,7.567729682284001,1,-1.331268534138436,0.03748120280095161,0.21208837739861985,0.001252690622,2.34074318799e-05,3.7101134975285004,0.0077764543917950004,18.050502037760985,0.27740680407442797,1.085482768190063,0.0
2,40,0.0001,1.0,0.049999999818999996,31.678516450111736,7.271037726102937,7.063214370162501,1,-1.4109808055989552,0.0482399825620954,0.1953501684119191,0.00128479843908,2.81146144208e-05,3.4800344903912,0.007415294359339502,14.67572669400397,0.26020369638052765,1.1050667589846508,0.0
3,40,0.0001,1.0,0.09999999963799999,31.678516450111736,7.405621489072709,7.567729682284001,2,-1.4788850510069054,0.06158165991541526,0.1921576951011816,0.00132810225852,2.60639800261e-05,3.7108282964540007,0.010671955029741002,18.050502037760985,0.2774602499017891,1.0857626640806244,0.0
4,40,0.0001,1.0,0.19999999964700002,31.678516450111736,7.230408048007967,7.063214370162501,1,-2.0100211442135647,0.0966365956100467,0.18020285454894702,0.00137162545641,2.48562151127e-05,3.5029599288202,0.007668855124035501,14.67572669400397,0.2619178414089292,1.1125603960411392,0.0
5,40,0.0001,2.0,0.009999999667000003,31.678516450111736,7.546688311091501,7.567729682284001,1,-1.5201928301787866,0.05689150067375941,0.20082091285673,0.00687068182972,4.77301369577e-05,3.7031168219470008,0.0085463066043695,18.050502037760985,0.2768836595901683,1.8796891542203173,0.0
6,40,0.0001,2.0,0.019999999705000004,31.678516450111736,7.518329763360548,7.567729682284001,1,-1.5684297111189558,0.049446744969908064,0.20581629373721738,0.00779726226744,5.2541410251e-05,3.712271042724,0.008009613084545002,18.050502037760985,0.27756812466953334,1.9237398773415666,0.0
7,40,0.0001,2.0,0.049999999818999996,31.678516450111736,7.366365027391524,7.567729682284001,2,-1.589653025340855,0.07256393490169792,0.18691904764073586,0.00917408629342,7.6744764487e-05,3.6952432722255004,0.010905037473035001,18.050502037760985,0.27629495084408345,1.9874239929887074,0.0
8,40,0.0001,2.0,0.09999999963799999,31.678516450111736,7.409935658992235,7.567729682284001,2,-1.3268567240605393,0.056926276823086305,0.1910336249636194,0.010426085192799998,6.8278349818e-05,3.7085864207245005,0.009001642642277001,18.050502037760985,0.2772926238758826,2.0247987007838324,0.0
9,40,0.0001,2.0,0.19999999964700002,31.678516450111736,7.353770075533251,7.567729682284001,2,-1.3815388045445847,0.05500933306028014,0.19234103796012458,0.011602773018,7.02965774158e-05,3.6934793254700002,0.011723471173655003,18.050502037760985,0.27616305977597283,2.0507487614243827,0.0
10,40,0.0001,3.0,0.009999999667000003,31.678516450111736,8.480631638844999,8.576760306598002,3,-1.759305507738978,0.15852481581145106,0.177845450814424,0.0237932132986,7.60200861288e-05,4.12258937255,0.0077981831992415,26.27618267016694,0.3082478051175877,2.410862917054121,0.0
11,40,0.0001,3.0,0.019999999705000004,31.678516450111736,8.419912248451487,8.576760306598002,3,-1.846312311315153,0.15597432099362316,0.18151377574422117,0.0312262714755,9.22227909198e-05,4.145802287707,0.008011036728975001,26.27618267016694,0.3099834449063014,2.5471541591191067,0.0
12,40,0.0001,3.0,0.049999999818999996,31.678516450111736,8.298506412985331,8.072244994441002,3,-1.9803701817329462,0.1604425355958459,0.18112019411982871,0.041512828857499996,0.00011334914162499999,3.9299847768150005,0.009152488665579502,21.906624102755284,0.2938466755056538,2.6853552718699256,0.0
13,40,0.0001,3.0,0.09999999963799999,31.678516450111736,8.14881136588503,8.072244994441002,3,-2.8103854966340003,0.2318234098016327,0.17493284022517797,0.0525328763676,0.000141641959478,3.9323808548175,0.0070875404028715,21.906624102755284,0.2940258313027552,2.802653668350927,0.0
14,40,0.0001,3.0,0.19999999964700002,31.678516450111736,8.029127734943641,8.072244994441002,3,-1.8692946233808283,0.1247369574843381,0.18682591249593858,0.0645590527651,0.00015286075412900002,3.9216648018135,0.0061755906078615,21.906624102755284,0.29322458734671125,2.894162522395228,0.0
15,40,0.0001,4.0,0.009999999667000003,31.678516450111736,11.379442919321605,11.603852179540002,10,-1.4015673550235912,0.2527074788784727,0.18082952537310795,0.0893237772342,0.00028933056532599996,5.310793418158,0.0091347333694055,65.07272838387793,0.3970903397462441,3.201888129115887,0.0
16,40,0.0001,4.0,0.019999999705000004,31.678516450111736,11.304442426350933,11.099336867383,9,-1.769001674172366,0.3137834975438826,0.1812959571447093,0.11108702031300001,0.00020773235801299997,5.153699212314501,0.006853765177112999,56.948665392533385,0.38534433747146574,3.33611183830238,0.0
17,40,0.0001,4.0,0.049999999818999996,31.678516450111736,10.758914808396037,10.594821555226002,8,-2.68668787717962,0.4572331981546551,0.1710584405635744,0.146167232136,0.000296493224199,4.993366301427001,0.010759938721913,49.53057759201446,0.37335617580824976,3.5177875817493667,0.0
18,40,0.0001,4.0,0.09999999963799999,31.678516450111736,10.587064855343655,10.594821555226002,8,-2.094845016854611,0.2990439230976793,0.19240900656641596,0.18042288048500002,0.00047537519884900003,5.0316325015775005,0.010768467822160501,49.53057759201446,0.37621735628019326,3.664036213053728,0.0
