pH,aab,eab,aaa,eaa,aTFA,are,ere,arg,erg,arh,erh
2.0,1.0,0.0,0.13439382007724904,0.0431169961129956,0.9833011506249288,5.302863975894413,0.481040732520357,2.2412774851879242,0.07120228875503615,2.3665818347333105,0.041073582784166646
2.5,1.0,0.0,0.26468119148510644,0.05095822968236186,0.9946583682969876,5.135541872754334,0.490652959214137,2.2040459237989056,0.07150712329300982,2.343615406632164,0.041637717923169525
3.0,1.0,0.0,0.4306658666766666,0.05528912972752126,0.9983046354895567,4.921161480949241,0.4915521639670457,2.1580733276921955,0.06983018550794362,2.3156193539519525,0.04150733644542638
3.5,0.9999962500468744,0.0002738356033750527,0.6062169222884713,0.05513564540415368,0.9994632564519815,4.688519695686289,0.4958505573238455,2.110843167549606,0.06745884355450966,2.2870212203803177,0.04111103107774586
4.0,1.0,0.0,0.7675586555168061,0.050497930775551016,0.9998302044701719,4.457543344474834,0.48619981986095384,2.067602863079904,0.06450543263883886,2.261243298827009,0.04028539659782094
4.5,0.9999955000562493,0.00029996624852326635,0.8859731753353082,0.04052166988696752,0.9999462997042396,4.296274819141821,0.4804147239982906,2.037435036766741,0.06230712785112436,2.2430725975992876,0.03966558264600658
5.0,0.9999960000499993,0.0002828144271426011,0.9559063011712354,0.02801243331843459,0.9999830178518736,4.19725696041988,0.4790228391259841,2.0197803455302075,0.06025404405830462,2.2325164174560683,0.03885919103409602
5.5,0.9999895001312484,0.0004581372625950744,0.9846909413632331,0.017136358833342472,0.9999946297108765,4.158936867308248,0.47625115140649144,2.0128217005762434,0.05907858239629959,2.228311696250415,0.03825393056849345
6.0,0.9999677504031199,0.0008024711524413945,0.9950955613054837,0.009937111271528808,0.9999983017592315,4.14706817926105,0.4736168542897099,2.0105502476979593,0.058801574014669705,2.2268744355035666,0.038177904849803004
6.5,0.9999112511093611,0.0013293319886152608,0.9984652691841353,0.005527166713638331,0.9999994629684921,4.152931355352395,0.4741098315196764,2.0108250383600255,0.058915986493035234,2.2270494277519997,0.03831356132924091
7.0,0.9997282533968325,0.0023433209043127773,0.9995307558655517,0.0030322940474020892,0.9999998301756636,4.14712330236035,0.47463217105076255,2.0106725791124695,0.05916668194917588,2.2269982044668075,0.03843090544698283
7.5,0.999226759665504,0.003930278859235199,0.9998870014124824,0.0015255265188158836,0.9999999462968232,4.149159329569807,0.46953231622325525,2.010120627087484,0.058494567298701484,2.2267561298550334,0.038194939283726304
8.0,0.9974657816777291,0.007136011296010179,0.999929000887489,0.0011895205181129559,0.9999999830175638,4.146065413313467,0.472224954923803,2.0101860405477745,0.058897902852845144,2.2266987748026517,0.03821483504998323
8.5,0.991443856951788,0.012921551804784796,0.9999817502281223,0.0006038765947304381,0.999999994629682,4.151728596443469,0.4721907463158388,2.0111690867255696,0.05881376498449023,2.2273935611089795,0.03817372814808173
9.0,0.9749823127210911,0.02172964564037469,0.9999965000437495,0.0002645519800589729,0.9999999983017563,4.176806204032006,0.477720041261708,2.0152581976729396,0.06010741979751245,2.229608738759707,0.03876655795424443
9.5,0.931300358745516,0.03407858999425151,0.9999982500218747,0.0001870746843864258,0.9999999994629682,4.215214352072778,0.47552416713144335,2.0237795274159236,0.06053687649840431,2.2350092352407893,0.038768504939706974
10.0,0.833361832977088,0.046724824106251624,0.9999990000124999,0.00014141782070340315,0.9999999998301756,4.347523763671489,0.48170023070604406,2.0487764037600877,0.06267429050369883,2.249941811984052,0.03961432868458892
10.5,0.677568780390245,0.05507825430534071,1.0,0.0,0.9999999999462968,4.538447570377891,0.4829813799852926,2.0867942174152194,0.06613184699549117,2.2730554430325083,0.04074562911585607
11.0,0.4901801227484657,0.057588616977575814,1.0,0.0,0.9999999999830176,4.776191559063767,0.48399620316526876,2.1364885387484196,0.06866098573087778,2.303217469051929,0.041256504439047145
11.5,0.3039227009662379,0.055266782290854334,1.0,0.0,0.9999999999946296,5.016925774646533,0.4777271486378683,2.189192722409988,0.07093058525320273,2.335617007416917,0.041597204956688026
12.0,0.1527120910988613,0.04633223197654631,1.0,0.0,0.9999999999983018,5.208548569228025,0.4756640849019897,2.2331977826448983,0.07219286269680932,2.3630929869610395,0.04156132230416596
