   2.00000000       16.4270802       1.46008074      -2.75591993      -1.65569997       0.00000000       0.00000000     -0.160879999       3.00000000       1.99958003       15.0000000       1.00000000    
   2.50000000       13.3768396       1.60224831      -4.26510000      -3.03931999      -1.99999995E-05   0.00000000     -0.318179995       3.00000000       1.99948001       15.0000000      0.999979973    
   3.00000000       10.0348797       1.62584019      -5.74720001      -4.72749996       0.00000000      -1.99999995E-05 -0.488319993       3.00000000       1.99798000       15.0000000      0.999939978    
   3.50000000       6.69452000       1.62617445      -7.03299999      -6.61872005       0.00000000       0.00000000     -0.650279999       3.00000000       1.99662006       15.0000000      0.999899983    
   4.00000000       3.50406003       1.62130284      -8.03495979      -8.70123959       0.00000000      -1.19999997E-04 -0.753660023       3.00000000       1.99460006       15.0000000      0.999440014    
   4.50000000      0.505540013       1.56549335      -8.80214024      -10.8390799      -3.99999990E-05  -9.99999975E-05 -0.842199981       3.00000000       1.98989999       14.9999800      0.999220014    
   5.00000000      -2.13657999       1.43019104      -9.34276009      -12.8682203      -3.99999990E-05  -1.19999997E-04 -0.904839993       3.00000000       1.98111999       14.9999599      0.998319983    
   5.50000000      -4.10567999       1.17734969      -9.68517971      -14.4242201      -1.99999995E-05  -4.19999997E-04 -0.952820003       3.00000000       1.96065998       14.9997997      0.996519983    
   6.00000000      -5.31593990      0.869300783      -9.87475967      -15.3539801      -3.99999990E-05  -8.20000016E-04 -0.979659975       3.00000000       1.90388000       14.9997396      0.989700019    
   6.50000000      -6.00544024      0.698061168      -9.95736027      -15.7707195      -3.19999992E-04  -3.18000000E-03 -0.991219997       3.00000000       1.74632001       14.9996996      0.971340001    
   7.00000000      -6.57043982      0.735363901      -9.98491955      -15.9183397      -1.24000001E-03  -9.06000007E-03 -0.996699989       3.00000000       1.42341995       14.9978399      0.918560028    
