pH,aaa,eaa,aab,eab,aTFA,are,ere,arg,erg,arh,erh
2.0,0.04532418344770691,0.028486096894424596,0.9993195085061436,0.003649236295230934,0.9833011506249288,5.427248277923707,0.47304901772467245,2.297378395285272,0.07459203884118187,2.4271514321724195,0.04276614487221269
2.5,0.1173577830277122,0.04097918498707573,0.9979830252121846,0.006333384707482793,0.9946583682969876,5.3441263094120925,0.47520997760785744,2.277053012978502,0.07470110304520386,2.4140328408804264,0.04321341900675562
3.0,0.24136148298146273,0.0507979954419536,0.9949395632554594,0.01005890947639216,0.9983046354895567,5.174062732565085,0.4819587018807441,2.2376412222688273,0.07447997318243109,2.389618188020511,0.043732825431594104
3.5,0.4059604254946813,0.0563880562161789,0.9880403994950065,0.015112616181866134,0.9994632564519815,4.966086592197389,0.48343324037397206,2.19022364574006,0.07316813924902882,2.3603825617273175,0.04386054613057536
4.0,0.5847249409382383,0.05687463981483156,0.9749060636742042,0.021850434511844288,0.9998302044701719,4.719437381863949,0.47607824256031234,2.1399517576645954,0.07007239844127994,2.330006607399555,0.043006853322863754
4.5,0.7445229434632067,0.05290361733110427,0.9469544130698366,0.030347578722293815,0.9999462997042396,4.521479597239375,0.4716490974141321,2.1012220105658344,0.06745199703010309,2.306589605057413,0.04231070454623154
5.0,0.8643479456506795,0.044313712689311495,0.8903658704266197,0.040658423323558186,0.9999830178518736,4.435509158837719,0.47034403362251737,2.085813303478978,0.06616949507434798,2.2972068712587976,0.04185242830364708
5.5,0.9340833239584504,0.03369610522050228,0.7849081886476418,0.050733464134338505,0.9999946297108765,4.473179069561016,0.4760682604819629,2.0952469399077884,0.06781507467445844,2.3028680326847764,0.04255205637174377
6.0,0.9682858964262946,0.024300680282899955,0.6317766027924652,0.05620253457864544,0.9999983017592315,4.63032754031515,0.47253998660219526,2.129081054784268,0.06948060155535052,2.3234715689637526,0.042973755077754465
6.5,0.9854249321883478,0.016659223957862335,0.44844339445756937,0.05666346440959566,0.9999994629684921,4.843443929958268,0.47433616839750936,2.1777902388804278,0.0720359670451644,2.353061917839536,0.04349294200487141
7.0,0.9935948300646242,0.011200816277014561,0.27550905613679827,0.05387597953736304,0.9999998301756636,5.071038289565596,0.4757961457121412,2.2288306519918204,0.07473425088893643,2.384201204674072,0.043937477486899676
7.5,0.9974422819714754,0.007130427526631287,0.13485781427732155,0.043904015710041336,0.9999999462968232,5.237248466488086,0.469469436456773,2.270824515179549,0.07476921247120549,2.4105257177529054,0.04347957158139267
8.0,0.9991290108873639,0.004112343429590237,0.05411132360845491,0.0307653710671477,0.9999999830175638,5.3286342742923525,0.46885233441109353,2.2942118172807264,0.07520355204209347,2.425305924727323,0.043032801670931216
8.5,0.9997062536718293,0.0024328403186604356,0.0184595192560093,0.018924504997856147,0.999999994629682,5.376330206626066,0.46785314749010704,2.306226486323098,0.07522619110541352,2.432797133500103,0.04277281444222881
9.0,0.9999077511531107,0.0013551715920408214,0.00635667054161823,0.011109330967010044,0.9999999983017563,5.393278265416706,0.4661671173021476,2.3100504837222204,0.07510541204522245,2.4350913228680713,0.042726656082340324
9.5,0.9999670004124946,0.0008117333389804383,0.0020512243596955038,0.006376317591853043,0.9999999994629682,5.402034267339873,0.4621475714016264,2.3124251086336707,0.07429034631625961,2.4365871372723498,0.0424007140369572
10.0,0.9999905001187486,0.0004357863595021203,0.0004979937750778115,0.0031846505459800843,0.9999999998301756,5.395765911353374,0.465215411275354,2.311356194932823,0.07479035819353373,2.43611727529889,0.0425926625508903
10.5,0.9999980000249996,0.00019998999987499237,0.00020674741565730433,0.0020278695647927784,0.9999999999462968,5.402622556982827,0.46303045983781754,2.3123389995708323,0.07473819259155323,2.436570879775025,0.04254081961583576
11.0,1.0,0.0,5.449931875851552e-05,0.0010426072065392897,0.9999999999830176,5.401002678938026,0.459115854096846,2.312069294522173,0.07412926152363994,2.436556190139892,0.04227510589069346
11.5,1.0,0.0,3.724953438082024e-05,0.0008623296671484256,0.9999999999946296,5.399128164959324,0.4655597057068529,2.31233116358607,0.07434984751024211,2.436645768976295,0.04223080655599771
12.0,1.0,0.0,0.0,0.0,0.9999999999983018,5.399120231543416,0.46128777258507103,2.3117069604162315,0.07472309594853414,2.4362961583781284,0.042494935806205544
